<setting>
1920,1080,500,400,0,225,-275,-225,275,-225
</setting>
<timedatas>
0,01_1_sad,01_2_happy,01_3_neutral,2-1,2020-02-17 15:19:33,254,1385,1752,6761,9778
0,1,19.5,66.5,2020-02-17 15:19:34,604
0,1,19,66.3,2020-02-17 15:19:34,636
0,2,18.3,65.7,2020-02-17 15:19:34,669
0,2,17.7,65.3,2020-02-17 15:19:34,701
0,2,17.3,65.5,2020-02-17 15:19:34,734
0,2,16.9,65.5,2020-02-17 15:19:34,767
0,2,16.6,66,2020-02-17 15:19:34,799
0,2,16,65.1,2020-02-17 15:19:34,832
0,2,15.3,64.1,2020-02-17 15:19:34,881
0,2,15.2,63.4,2020-02-17 15:19:34,913
0,2,15,63,2020-02-17 15:19:34,930
0,2,15.1,62.8,2020-02-17 15:19:34,962
0,3,28.3,-1.2,2020-02-17 15:19:35,7
0,3,28.1,2,2020-02-17 15:19:35,40
0,3,30.6,0.2,2020-02-17 15:19:35,73
0,3,32.1,8.9,2020-02-17 15:19:35,105
0,3,33.4,9.4,2020-02-17 15:19:35,138
0,3,35.1,9.2,2020-02-17 15:19:35,170
0,3,36.6,9.8,2020-02-17 15:19:35,203
0,3,37.5,11.1,2020-02-17 15:19:35,236
0,3,38.2,10.3,2020-02-17 15:19:35,268
0,3,40.9,12.7,2020-02-17 15:19:35,301
0,3,42.1,13.2,2020-02-17 15:19:35,333
0,3,41.6,12.9,2020-02-17 15:19:35,366
0,3,-101.4,-47.4,2020-02-17 15:19:35,399
0,3,-99.8,-38.3,2020-02-17 15:19:35,431
0,3,-99.6,-36.5,2020-02-17 15:19:35,464
0,3,-100.2,-36.5,2020-02-17 15:19:35,643
0,3,-100.4,-36.7,2020-02-17 15:19:35,675
0,3,-135.5,-13.8,2020-02-17 15:19:35,708
0,3,-134.4,-8.1,2020-02-17 15:19:35,741
0,3,-135.6,-6.9,2020-02-17 15:19:35,773
0,3,-136.6,-6,2020-02-17 15:19:35,806
0,3,-138.1,-5.9,2020-02-17 15:19:35,855
0,3,-139.4,-5.1,2020-02-17 15:19:35,871
0,3,-140.6,-4.6,2020-02-17 15:19:35,904
0,3,-141.2,-3.4,2020-02-17 15:19:35,936
0,3,-140.7,-2.6,2020-02-17 15:19:35,969
0,3,-140,-3.3,2020-02-17 15:19:36,1
0,3,-139.8,-4.2,2020-02-17 15:19:36,34
0,3,-124.1,-54.7,2020-02-17 15:19:36,67
0,3,-124.7,-54.4,2020-02-17 15:19:36,99
0,3,111.7,-101.2,2020-02-17 15:19:36,132
0,3,111.5,-101.4,2020-02-17 15:19:36,181
0,3,111.9,-101.2,2020-02-17 15:19:36,213
0,3,193.8,-101.1,2020-02-17 15:19:36,229
0,3,194.5,-100.8,2020-02-17 15:19:36,278
0,3,192.8,-100.6,2020-02-17 15:19:36,311
0,3,192.9,-100.7,2020-02-17 15:19:36,344
0,3,72.9,67.9,2020-02-17 15:19:36,376
0,3,72.9,67.9,2020-02-17 15:19:36,409
0,3,71,101.9,2020-02-17 15:19:36,442
0,3,69.8,103.9,2020-02-17 15:19:36,474
0,3,68.7,105.1,2020-02-17 15:19:36,507
0,3,69.3,103.3,2020-02-17 15:19:36,539
0,3,69,104.7,2020-02-17 15:19:36,572
0,3,68.7,104.7,2020-02-17 15:19:36,604
0,3,68.4,104.7,2020-02-17 15:19:36,637
0,3,231.3,-154.1,2020-02-17 15:19:36,669
0,3,231.8,-154.1,2020-02-17 15:19:36,702
0,3,231.1,-154.6,2020-02-17 15:19:36,735
0,3,231.6,-157.7,2020-02-17 15:19:36,767
0,3,231.2,-159.5,2020-02-17 15:19:36,800
0,3,230.3,-160.8,2020-02-17 15:19:36,832
0,3,229.2,-160.2,2020-02-17 15:19:36,881
0,3,229,-158.6,2020-02-17 15:19:36,914
0,3,229.1,-158.2,2020-02-17 15:19:36,930
0,3,229,-158,2020-02-17 15:19:36,979
0,3,228.9,-157.5,2020-02-17 15:19:36,995
0,3,228.8,-158.6,2020-02-17 15:19:37,28
0,3,229.7,-157.5,2020-02-17 15:19:37,77
0,3,230.9,-158,2020-02-17 15:19:37,110
0,3,231.5,-159,2020-02-17 15:19:37,142
0,3,231.9,-159.5,2020-02-17 15:19:37,175
0,3,232,-159,2020-02-17 15:19:37,207
0,3,231.9,-158.4,2020-02-17 15:19:37,240
0,3,232.1,-158.1,2020-02-17 15:19:37,272
0,3,232.4,-158.8,2020-02-17 15:19:37,305
0,3,232.6,-159.2,2020-02-17 15:19:37,338
0,3,-86.2,-39.1,2020-02-17 15:19:37,370
0,3,-86,-37.6,2020-02-17 15:19:37,403
0,3,-85.5,-36.6,2020-02-17 15:19:37,435
0,3,-86.8,-37.6,2020-02-17 15:19:37,468
0,3,-86,-38.5,2020-02-17 15:19:37,500
0,3,-85.4,-39.4,2020-02-17 15:19:37,533
0,3,24.5,84.7,2020-02-17 15:19:37,566
0,3,24.7,83.2,2020-02-17 15:19:37,598
0,3,24.2,84.6,2020-02-17 15:19:37,631
0,3,25.2,84.4,2020-02-17 15:19:37,663
0,3,26.1,84.6,2020-02-17 15:19:37,696
0,3,27.1,85.1,2020-02-17 15:19:37,728
0,3,96.1,220.1,2020-02-17 15:19:37,778
0,3,94.7,219.1,2020-02-17 15:19:37,810
0,3,94.8,217.1,2020-02-17 15:19:37,843
0,3,95.5,216.7,2020-02-17 15:19:37,875
0,3,95.6,216,2020-02-17 15:19:37,908
0,3,95.9,216.1,2020-02-17 15:19:37,941
0,3,96,216.2,2020-02-17 15:19:37,973
0,3,96,216.3,2020-02-17 15:19:38,6
0,3,108.9,326.9,2020-02-17 15:19:38,38
0,3,108.1,330,2020-02-17 15:19:38,71
0,3,108.6,330.9,2020-02-17 15:19:38,103
0,3,109.8,331.8,2020-02-17 15:19:38,136
0,3,110.2,332.9,2020-02-17 15:19:38,169
0,3,110.4,333.2,2020-02-17 15:19:38,201
0,3,109.7,335.3,2020-02-17 15:19:38,234
0,3,109.7,335.3,2020-02-17 15:19:38,266
0,3,109.7,334.9,2020-02-17 15:19:38,299
0,3,109.9,336.1,2020-02-17 15:19:38,332
0,3,110.3,337.2,2020-02-17 15:19:38,364
0,3,110.3,336.9,2020-02-17 15:19:38,396
0,3,110.8,338.1,2020-02-17 15:19:38,429
0,3,111.1,339.4,2020-02-17 15:19:38,478
0,3,111,340,2020-02-17 15:19:38,495
0,3,109.9,340.5,2020-02-17 15:19:38,543
0,3,108.6,340.2,2020-02-17 15:19:38,576
0,3,107.7,339.8,2020-02-17 15:19:38,608
0,3,106.9,339.4,2020-02-17 15:19:38,641
0,3,106.8,339.6,2020-02-17 15:19:38,674
0,3,107.5,339.4,2020-02-17 15:19:38,706
0,3,108.2,339,2020-02-17 15:19:38,739
0,3,109.1,339,2020-02-17 15:19:38,771
0,3,109.5,339.3,2020-02-17 15:19:38,804
0,3,109.1,339.3,2020-02-17 15:19:38,836
0,3,108,338.3,2020-02-17 15:19:38,869
0,3,107.4,337.7,2020-02-17 15:19:38,902
0,3,106.9,337.6,2020-02-17 15:19:38,934
0,3,106.2,338.2,2020-02-17 15:19:38,967
0,3,106.7,336.7,2020-02-17 15:19:39,65
0,3,107.4,336.7,2020-02-17 15:19:39,114
0,3,49.3,281.5,2020-02-17 15:19:39,146
0,3,-82.7,-24.9,2020-02-17 15:19:39,179
0,3,-82.6,-20.4,2020-02-17 15:19:39,211
0,3,-81.9,-18.3,2020-02-17 15:19:39,244
0,3,-81,-16.4,2020-02-17 15:19:39,276
0,3,-81.1,-16.1,2020-02-17 15:19:39,309
0,3,-81.3,-16.3,2020-02-17 15:19:39,341
0,3,-81.4,-16.9,2020-02-17 15:19:39,374
